City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
79,Makakilo City,US,21.3469,-158.0858,75.52,73,0,9.22,clear sky
80,Korem,ET,12.5058,39.5228,52.36,94,87,3.44,overcast clouds
81,Oranjemund,NA,-28.55,16.4333,65.48,93,57,4.0,light rain
82,Turukhansk,RU,65.8167,87.9833,19.96,94,100,19.51,light snow
83,Flinders,AU,-34.5833,150.8552,77.18,76,96,4.0,overcast clouds
84,Fort Nelson,CA,58.8053,-122.7002,-31.88,100,39,0.65,scattered clouds
85,Barrow,US,71.2906,-156.7887,-18.38,76,0,4.61,clear sky
86,Lamu,KE,-2.2717,40.902,79.02,83,79,10.04,broken clouds
87,Springfield,US,37.2153,-93.2982,50.2,95,100,7.0,overcast clouds
88,Arraial Do Cabo,BR,-22.9661,-42.0278,72.7,85,100,3.8,moderate rain
89,Kapaa,US,22.0752,-159.319,76.98,73,100,1.99,overcast clouds
90,Leningradskiy,RU,69.3833,178.4167,-13.27,96,83,10.8,broken clouds
91,Port Hardy,CA,50.6996,-127.4199,45.75,90,100,21.74,light rain
92,Arrifes,PT,37.7667,-25.7,57.45,58,75,9.22,broken clouds
93,Csenger,HU,47.8358,22.681,30.96,99,100,3.24,snow
94,Baijiantan,CN,45.6333,85.1833,12.97,89,7,1.34,clear sky
95,Mahebourg,MU,-20.4081,57.7,79.25,79,0,4.0,clear sky
96,Jiaojiang,CN,28.6803,121.4428,48.99,90,100,5.19,overcast clouds
97,Hobart,AU,-42.8794,147.3294,77.02,56,75,1.01,broken clouds
98,Olinda,BR,-8.0089,-34.8553,82.13,69,75,3.44,broken clouds
99,Kamaishi,JP,39.2667,141.8833,43.12,69,35,13.47,scattered clouds
100,Antalaha,MG,-14.9003,50.2788,74.61,91,91,4.65,overcast clouds
101,New Norfolk,AU,-42.7826,147.0587,76.66,34,34,4.5,scattered clouds
102,Kologriv,RU,58.8275,44.3178,2.28,98,100,6.11,overcast clouds
103,Leh,IN,34.1667,77.5833,12.87,79,100,6.26,overcast clouds
104,Tuktoyaktuk,CA,69.4541,-133.0374,-22.61,98,100,13.98,overcast clouds
105,Vila Velha,BR,-20.3297,-40.2925,73.35,96,100,3.44,overcast clouds
106,Pedasi,PA,7.5333,-80.0333,75.07,77,7,17.67,clear sky
107,Port Alfred,ZA,-33.5906,26.891,72.63,91,57,20.76,broken clouds
108,Susa,TN,35.8254,10.637,51.58,82,20,13.8,few clouds
109,San Jose,US,37.3394,-121.895,52.29,85,0,4.61,clear sky
110,Korla,CN,41.7597,86.1469,25.18,50,0,0.65,clear sky
111,Katsuura,JP,35.1333,140.3,48.31,51,70,21.21,broken clouds
112,Rio Gallegos,AR,-51.6226,-69.2181,51.73,53,100,11.21,overcast clouds
113,La Ronge,CA,55.1001,-105.2842,-18.18,69,0,10.36,clear sky
114,Merauke,ID,-8.4667,140.3333,85.23,67,100,7.23,overcast clouds
115,Sibut,CF,5.718,19.0739,79.07,28,100,2.33,overcast clouds
116,Ialibu,PG,-6.2821,143.9935,63.07,80,100,2.98,overcast clouds
117,Skjervoy,NO,70.0311,20.9714,27.45,72,100,7.99,overcast clouds
118,Necochea,AR,-38.5473,-58.7368,73.04,53,0,18.21,clear sky
119,Longyearbyen,SJ,78.2186,15.6401,12.04,85,75,3.44,broken clouds
